id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers,has_catalan_slang,has_spanish_slang,has_any_slang,catalan_slang_count,spanish_slang_count,total_slang_count,catalan_slang_found,spanish_slang_found
Americas First Horse Hidalgo and the Spanish Mustang_2004_7779_888,"Hazlo. Hazlo, joder. Vale.",farewells,0.6506446075439454,Americas First Horse Hidalgo and the Spanish Mustang,"01:11:37,647","01:11:41,003",Vale. | Vale.,"¡Apartaos del puto coche! ¡Dios mío! | ¡Estaba la puta policía! Los he visto, puto cabrón mentiroso.",,False,True,True,0,6,6,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""], ""swears_expressions"": [""joder"", ""puta"", ""cabr\u00f3n""]}"
Barcelona Summer Night_2013_6579113_910,"Creo que le tienes que mandar a tomar por culo, joder.",opinions,0.8817438745498657,Barcelona Summer Night,"00:42:37,400","00:42:39,790","No me puedo creer que vayas a hacer caso al gilipollas este. | No sé, tío.","Tú eres tonto o qué, tío. | Me acaban de ofrecer el contrato millonario de mi vida",,False,True,True,0,5,5,{},"{""address_terms"": [""t\u00edo"", ""t\u00edo""], ""swears_expressions"": [""joder"", ""gilipollas""], ""other_common"": [""culo""]}"
Americas First Horse Hidalgo and the Spanish Mustang_2004_7779_65,"de los cojones, joder.",farewells,0.6353133392333985,Americas First Horse Hidalgo and the Spanish Mustang,"00:07:20,527","00:07:23,325","¿Julia? | Doreen, la puta vaga, está salvando su puto culo gordo","¡Zorra! ¡Puta gorda! ¡Puta zorra! | Julia, ¿me dejas un momento a solas con Mitch, por favor?",,False,True,True,0,5,5,{},"{""swears_expressions"": [""joder"", ""puta"", ""Puta"", ""Puta""], ""other_common"": [""culo""]}"
Americas First Horse Hidalgo and the Spanish Mustang_2004_7779_66,¡Zorra! ¡Puta gorda! ¡Puta zorra!,farewells,0.663556308746338,Americas First Horse Hidalgo and the Spanish Mustang,"00:07:23,527","00:07:26,997","Doreen, la puta vaga, está salvando su puto culo gordo | de los cojones, joder.","Julia, ¿me dejas un momento a solas con Mitch, por favor? | Espérame un segundo fuera.",,False,True,True,0,5,5,{},"{""swears_expressions"": [""joder"", ""puta"", ""Puta"", ""Puta""], ""other_common"": [""culo""]}"
Barcelona Summer Night_2013_6579113_174,"Hostia, qué casa que tienes, Joan, cabrón.",family,0.8,Barcelona Summer Night,"00:07:56,280","00:07:58,430",Es la fiesta de su hermana. | Nadie te invitará.,Huele un poco a cerrado eso sí. | Gracias. Encima que os invito.,,True,True,True,1,3,4,"{""swears_edgy"": [""Hostia""]}","{""party_social"": [""fiesta""], ""swears_expressions"": [""Hostia"", ""cabr\u00f3n""]}"
The Spanish Apartment_2002_7785118_354,"Ay, genial.",farewells,0.6563105773925781,The Spanish Apartment,"00:30:45,189","00:30:46,577",¿En qué trabajas? Soy niñera. | ¡Genial!,"Genial para ti. Sí, genial para mí. | Me da pena que te vayas.",,False,True,True,0,4,4,{},"{""cool_reactions"": [""Genial"", ""genial"", ""Genial"", ""genial""]}"
The Spanish Apartment_2002_7785118_355,"Genial para ti. Sí, genial para mí.",farewells,0.6470090103149415,The Spanish Apartment,"00:30:46,756","00:30:48,906","¡Genial! | Ay, genial.",Me da pena que te vayas. | Quiero escribir libros.,,False,True,True,0,4,4,{},"{""cool_reactions"": [""Genial"", ""genial"", ""Genial"", ""genial""]}"
Barcelona Summer Night_2013_6579113_988,Adeu. Adeu.,farewells,0.659833927154541,Barcelona Summer Night,"00:47:30,320","00:47:30,970","Bueno, ya nos diréis. | Vale.","Es caro todo esto, ¿eh? | Joder, con los catalans.",,True,True,True,2,2,4,"{""catalan_expressions"": [""Adeu"", ""Adeu""]}","{""common_expressions"": [""Vale""], ""swears_expressions"": [""Joder""]}"
Spanish Affair_2014_977086_406,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:29:58,255","00:29:59,962","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,True,True,2,2,4,"{""swears_edgy"": [""hostia"", ""hostia""]}","{""swears_expressions"": [""hostia"", ""hostia""]}"
Spanish Affair_2014_976542_430,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:30:01,509","00:30:03,219","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,True,True,2,2,4,"{""swears_edgy"": [""hostia"", ""hostia""]}","{""swears_expressions"": [""hostia"", ""hostia""]}"
