id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers,has_catalan_slang,catalan_slang_count,catalan_slang_found,generic_spanish_slang_count
Spanish Affair 2_2015_2833100_970,"Venga, que pase, que pase. Vinga, Vinga, vinga.",farewells,0.6222381782531738,Spanish Affair 2,"00:58:08,695","00:58:11,614","Nene, pero si tú eres lo más catalán que hay en este pueblo. | Ojo, que mi abuela por parte de madre era de Teruel, ¿eh?","¡Gracias, ""companis""! | ¡Ja sóc aquí!",,True,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",0
Spanish Affair 2_2015_2833100_971,"¡Gracias, ""companis""!",greetings,0.6691291999816895,Spanish Affair 2,"00:58:13,408","00:58:15,493","Ojo, que mi abuela por parte de madre era de Teruel, ¿eh? | Venga, que pase, que pase. Vinga, Vinga, vinga.",¡Ja sóc aquí! | Gracias. ¡Salut y fortsa al canut!,,True,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",0
Spanish Affair 2_2015_2833100_969,"Ojo, que mi abuela por parte de madre era de Teruel, ¿eh?",family,0.6981480264663696,Spanish Affair 2,"00:58:05,608","00:58:08,486","Andreu. ¿Qué pasa? | Nene, pero si tú eres lo más catalán que hay en este pueblo.","Venga, que pase, que pase. Vinga, Vinga, vinga. | ¡Gracias, ""companis""!",,True,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",0
Sin City_2005_204804_771,¿Adonde vas? Te llevaremos. No cariño. Yo trabajo por el dia.,farewells,0.618697566986084,Sin City,"00:56:46,889","00:56:52,132",Eres un cadaver. | Hola nena. hola nena.,"Y ha sido un largo dia. Ademas, no trabajo grupos. | Entra en el auto nena. Vamos a hablar, sera agradable.",,True,3,"{""address_terms"": [""nena"", ""nena"", ""nena""]}",0
Spanish Affair_2014_977086_406,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:29:58,255","00:29:59,962","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,2,"{""swears_edgy"": [""hostia"", ""hostia""]}",0
Sin City_2005_204804_770,Hola nena. hola nena.,greetings,1.0,Sin City,"00:56:41,150","00:56:43,023",Pero si te les atraviesas. | Eres un cadaver.,"¿Adonde vas? Te llevaremos. No cariño. Yo trabajo por el dia. | Y ha sido un largo dia. Ademas, no trabajo grupos.","lexical:nen, lexical:nena",True,2,"{""address_terms"": [""nena"", ""nena""]}",0
Spanish Affair_2014_976394_430,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:29:58,255","00:29:59,962","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,2,"{""swears_edgy"": [""hostia"", ""hostia""]}",0
Evil Dead II_1987_418393_137,"Espero que t'hi podreixis, aquí avall.",farewells,0.6050031852722169,Evil Dead II,"00:38:43,531","00:38:45,450","M'he equivocat. | Ja ho pots ben dir, xantatgista fill de puta.","Hòstia! | Ja sé que fa mal, nena, però tot sortirà bé.",,True,2,"{""address_terms"": [""nena""], ""swears_edgy"": [""H\u00f2stia""]}",0
Spanish Affair_2014_976542_430,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:30:01,509","00:30:03,219","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,2,"{""swears_edgy"": [""hostia"", ""hostia""]}",0
Sin City_2005_204804_773,"Entra en el auto nena. Vamos a hablar, sera agradable.",plans,0.8,Sin City,"00:56:57,536","00:57:00,382","¿Adonde vas? Te llevaremos. No cariño. Yo trabajo por el dia. | Y ha sido un largo dia. Ademas, no trabajo grupos.","Yo tampoco hablo. | Nena, he tenido un dia muy malo.","lexical:nen, lexical:nena",True,2,"{""address_terms"": [""nena"", ""Nena""]}",0
Barcelona Summer Night_2013_6579113_422,"¡Hostia, Marta!",greetings,0.6642912101745606,Barcelona Summer Night,"00:19:15,400","00:19:15,790","Hostia, como sea tan alta como la última | igual está debajo de la mesa.","Perdona, ¿eh? | Pero bueno, que no has contestao a la pregunta.",,True,2,"{""swears_edgy"": [""Hostia"", ""Hostia""]}",0
Barcelona Summer Night_2013_6579113_420,"Hostia, como sea tan alta como la última",farewells,0.6113667678833008,Barcelona Summer Night,"00:19:11,160","00:19:13,210","Todo bien. | ¿Y así qué, Joan, alguna mujer en tu vida?","igual está debajo de la mesa. | ¡Hostia, Marta!",,True,2,"{""swears_edgy"": [""Hostia"", ""Hostia""]}",0
Barcelona Summer Night_2013_6579113_762,"Perdonad, pero me voy a cagar.",apologies,0.6786544990539551,Barcelona Summer Night,"00:35:43,120","00:35:44,620",Faltaban dos Huesitos. | Hostia puta.,"Josep, por favor. ¿No estamos en familia. | ¿Y qué? ¿Veréis el cometa más tarde?",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_1424,Pues que si algún día atropella a nuestro hijo,family,0.8,Barcelona Summer Night,"01:13:06,560","01:13:08,910",Solo quiero que sepas que. | ¿Qué?,"voy a estar supercerca para pegar todos los trozos. | Ostras, tío, pero es lo más macu que me has dicho nunca, ¿eh?",,True,1,"{""fillers_reactions"": [""Ostras""]}",0
Tres dies amb la família_2009_91467_316,Un momento por favor.,farewells,0.6423063468933106,Tres dies amb la família,"00:35:50,847","00:35:52,997","Mar, ¿puedo llamar? En mi habitación. A la derecha. | Te mando un beso muy grande, cariño.","¿Te acuerdas de Léa, no? Sí, un poco sí. | ¿Qué tal París? Hostia, ¿sabes que fui con Carla?",,True,1,"{""swears_edgy"": [""Hostia""]}",0
